run_id,label,evidence_category,device,seed,fold_mean_mae_eV,fold_mean_rmse_eV,global_r2_eV,delta_vs_notebook_fold_mae_eV,source_artifact,caveat
notebook_saved_output,notebook saved,Model Inference,cuda saved output,not explicit,0.15338832561753013,0.15425705564280934,0.8380042800908163,0,notes/modeling-code-audit-ce3-excitation-band-baseline.md;reproductions/ce3_original_baseline/report.md,"Saved output artifact, not a local rerun."
cpu_unseeded_default,CPU unseeded/default,Model Inference,cpu,unseeded,0.1549934117114905,0.15583398084252154,0.8355147246024563,0.0016050860939603728,results/tables/ce3_original_metric_gap/metric_gap_runs.csv;reproductions/ce3_original_metric_gap/report.md,CPU rerun under local package versions; CUDA not tested locally.
cpu_seed_0_default,CPU seed 0/default,Model Inference,cpu,0,0.1549934117114905,0.15583398084252154,0.8355147246024563,0.0016050860939603728,results/tables/ce3_original_metric_gap/metric_gap_runs.csv;reproductions/ce3_original_metric_gap/report.md,CPU rerun under local package versions; CUDA not tested locally.
cpu_seed_100_default,CPU seed 100/default,Model Inference,cpu,100,0.15660183148673087,0.15748760739265072,0.8300624902947182,0.0032135058692007445,results/tables/ce3_original_metric_gap/metric_gap_runs.csv;reproductions/ce3_original_metric_gap/report.md,CPU rerun under local package versions; CUDA not tested locally.
cpu_seed_1_default,CPU seed 1/default,Model Inference,cpu,1,0.15868260838479709,0.15945084205876886,0.8269133707609758,0.005294282767266956,results/tables/ce3_original_metric_gap/metric_gap_runs.csv;reproductions/ce3_original_metric_gap/report.md,CPU rerun under local package versions; CUDA not tested locally.
cpu_seed_42_n_jobs_1,CPU seed 42/n_jobs=1,Model Inference,cpu,42,0.159380745010665,0.1602286959741412,0.8267436907539083,0.005992419393134857,results/tables/ce3_original_metric_gap/metric_gap_runs.csv;reproductions/ce3_original_metric_gap/report.md,CPU rerun under local package versions; CUDA not tested locally.
cpu_seed_22_default,CPU seed 22/default,Model Inference,cpu,22,0.16137913856650843,0.16212499925099544,0.8295286393335277,0.007990812948978299,results/tables/ce3_original_metric_gap/metric_gap_runs.csv;reproductions/ce3_original_metric_gap/report.md,CPU rerun under local package versions; CUDA not tested locally.
cpu_seed_42_default,CPU seed 42/default,Model Inference,cpu,42,0.1615349876620553,0.16245230476530725,0.8264857369342495,0.00814666204452516,results/tables/ce3_original_metric_gap/metric_gap_runs.csv;reproductions/ce3_original_metric_gap/report.md,CPU rerun under local package versions; CUDA not tested locally.
