run_id,status,device,n_jobs,seed_policy,seed,elapsed_s,fold_mean_mae_eV,fold_mean_mse_eV2,fold_mean_rmse_eV,fold_mean_mae_nm,fold_mean_rmse_nm,global_mae_eV,global_rmse_eV,global_r2_eV,global_mae_nm,global_rmse_nm,global_r2_nm,delta_vs_notebook_fold_mae_eV,delta_vs_notebook_fold_rmse_eV,delta_vs_notebook_r2_global_minus_notebook,skip_reason
cpu_unseeded_default,ok,cpu,xgboost_default,notebook-like unseeded rerun,,59.147,0.1549934117114905,0.04416122774004402,0.15583398084252154,15.546313463825308,15.617569389970441,0.1544837300223129,0.20902288874146235,0.8355147246024563,15.536665145919246,22.285602859477144,0.8314458479664559,0.0016050860939603728,0.001576925199712198,-0.0024895554883599402,
cpu_seed_0_default,ok,cpu,xgboost_default,local deterministic rerun with random_state,0,68.362,0.1549934117114905,0.04416122774004402,0.15583398084252154,15.546313463825308,15.617569389970441,0.1544837300223129,0.20902288874146235,0.8355147246024563,15.536665145919246,22.285602859477144,0.8314458479664559,0.0016050860939603728,0.001576925199712198,-0.0024895554883599402,
cpu_seed_1_default,ok,cpu,xgboost_default,local deterministic rerun with random_state,1,83.319,0.15868260838479709,0.04630460946510447,0.15945084205876886,16.155810788087063,16.22366890643463,0.15870999868911187,0.21441842052095375,0.8269133707609758,16.188393707212608,23.22653522762123,0.8169121433863289,0.005294282767266956,0.005193786415959523,-0.01109090932984047,
cpu_seed_22_default,ok,cpu,xgboost_default,local deterministic rerun with random_state,22,57.196,0.16137913856650843,0.04568269485197903,0.16212499925099544,16.292703727287897,16.361829680650004,0.1616886125398951,0.21279236732717927,0.8295286393335277,16.336499126470482,22.679436582586494,0.825435791380187,0.007990812948978299,0.007867943608186101,-0.008475640757288572,
cpu_seed_42_default,ok,cpu,xgboost_default,local deterministic rerun with random_state,42,49.683,0.1615349876620553,0.046864670340503116,0.16245230476530725,16.315180810856024,16.390102325509496,0.16083551934720422,0.2146831319121065,0.8264857369342495,16.28117847941098,22.936546794510626,0.8214553883399418,0.00814666204452516,0.008195249122497916,-0.011518543156566752,
cpu_seed_100_default,ok,cpu,xgboost_default,local deterministic rerun with random_state,100,65.168,0.15660183148673087,0.04564026088875571,0.15748760739265072,15.787649936756006,15.861797049364794,0.15625957639143917,0.21245891399410402,0.8300624902947182,15.787478694678965,22.60348337670987,0.8266030610856915,0.0032135058692007445,0.0032305517498413816,-0.007941789796098053,
