run_id,status,device,n_jobs,seed_policy,seed,elapsed_s,fold_mean_mae_eV,fold_mean_mse_eV2,fold_mean_rmse_eV,fold_mean_mae_nm,fold_mean_rmse_nm,global_mae_eV,global_rmse_eV,global_r2_eV,global_mae_nm,global_rmse_nm,global_r2_nm,delta_vs_notebook_fold_mae_eV,delta_vs_notebook_fold_rmse_eV,delta_vs_notebook_r2_global_minus_notebook,skip_reason
cpu_seed_42_default,ok,cpu,xgboost_default,local deterministic rerun with random_state,42,49.683,0.1615349876620553,0.046864670340503116,0.16245230476530725,16.315180810856024,16.390102325509496,0.16083551934720422,0.2146831319121065,0.8264857369342495,16.28117847941098,22.936546794510626,0.8214553883399418,0.00814666204452516,0.008195249122497916,-0.011518543156566752,
cpu_seed_42_n_jobs_1,ok,cpu,1,local deterministic rerun with random_state,42,85.722,0.159380745010665,0.04650870833195326,0.1602286959741412,16.01831651671151,16.091180077255057,0.15926362384400783,0.21452349393714995,0.8267436907539083,16.044795869109173,22.90492074012477,0.8219474213124667,0.005992419393134857,0.005971640331331851,-0.011260589336907989,
cuda_seed_42_default,skipped,cuda,xgboost_default,skipped,42,,,,,,,,,,,,,,,,nvidia-smi returned non-zero
