model,fold_index,group,test_rows,mae_eV,mse_eV2,rmse_eV,r2,mae_nm,mse_nm2,rmse_nm
train_median_baseline,14,Ba3(PO4)2,1,0.19200000000000017,0.03686400000000006,0.19200000000000017,,17.00253481774979,289.0861902287939,17.00253481774979
xgboost_original_params,15,Ba3B(PO4)3,1,0.4202086849212643,0.17657533888325835,0.4202086849212643,,32.539509399500844,1058.8196719602038,32.539509399500844
train_mean_baseline,15,Ba3B(PO4)3,1,0.6021404494382017,0.3625731208496395,0.6021404494382017,,48.974396479700886,2398.4915105509385,48.974396479700886
train_median_baseline,15,Ba3B(PO4)3,1,0.5699999999999998,0.3248999999999998,0.5699999999999998,,45.95172412784137,2111.560950321239,45.95172412784137
xgboost_original_params,16,Ba3Gd(BO3)3,2,0.12422355556488052,0.017522036394842042,0.13237082909327885,0.026686798473834372,11.682989231702436,148.41910474824016,12.182737982417589
train_mean_baseline,16,Ba3Gd(BO3)3,2,0.12349999999999994,0.024007673973418072,0.15494409951146276,-0.5962913324080565,12.348624845158781,243.4161276163581,15.601798858348292
train_median_baseline,16,Ba3Gd(BO3)3,2,0.12650000000000006,0.0312545,0.17678942276052603,-1.0457674061489537,12.628045783366588,311.9560758732754,17.66227833189352
xgboost_original_params,17,Ba3Lu(BO3)3,2,0.08865367412567138,0.013074974540657664,0.11434585493430736,0.9340375890660496,7.020840138287639,76.40527907558054,8.74101133025124
train_mean_baseline,17,Ba3Lu(BO3)3,2,0.3800000000000001,0.15981304764134097,0.39976624124773336,-0.054211343732957884,34.034033561604275,1221.1092769670481,34.944374038849915
train_median_baseline,17,Ba3Lu(BO3)3,2,0.3800000000000001,0.15304900000000013,0.3912147747721194,-0.021545103270071086,34.034033561604275,1183.2714662567018,34.3987131482662
xgboost_original_params,18,Ba3Lu4O9,1,0.12792176818847656,0.016363978776466333,0.12792176818847656,,16.8577776246255,284.1846664413241,16.8577776246255
train_mean_baseline,18,Ba3Lu4O9,1,0.6142668539325844,0.37732376784023497,0.6142668539325844,,70.06850942346858,4909.596012826706,70.06850942346858
train_median_baseline,18,Ba3Lu4O9,1,0.6444999999999999,0.4153802499999998,0.6444999999999999,,72.90796264019264,5315.571016343725,72.90796264019264
xgboost_original_params,19,Ba3Mg(SiO4)2,2,0.07967482566833484,0.0068099865577420865,0.08252264269727483,0.4507959405198697,6.783352463867715,48.55971912039013,6.968480402526087
train_mean_baseline,19,Ba3Mg(SiO4)2,2,0.1945436619718306,0.049947236413409854,0.22348878364117036,-3.3610587799186407,17.23888877115897,385.5976403758213,19.63664025172894
train_median_baseline,19,Ba3Mg(SiO4)2,2,0.16300000000000026,0.03866900000000005,0.19664434901618721,-2.3039754373665633,14.272831413069724,292.13207085734047,17.091871484929335
xgboost_original_params,20,Ba3Y(BO2)9,1,0.6979046916961669,0.4870709586915217,0.6979046916961669,,71.80232950431679,5155.574522246481,71.80232950431679
train_mean_baseline,20,Ba3Y(BO2)9,1,0.4778848314606745,0.22837391214019728,0.4778848314606745,,52.15610842887446,2720.2596464445096,52.15610842887446
train_median_baseline,20,Ba3Y(BO2)9,1,0.5084999999999997,0.2585722499999997,0.5084999999999997,,55.03174425621205,3028.492875881128,55.03174425621205
xgboost_original_params,21,Ba3Y(BO3)3,2,0.20000463962554949,0.04007666158704662,0.20019156222739914,0.5617662415781381,18.582809482166937,362.47111306341174,19.038674141426227
train_mean_baseline,21,Ba3Y(BO3)3,2,0.3350000000000002,0.15205391572307098,0.3899409131177068,-0.2872563961488013,28.75966255020083,1064.7131804503526,32.62994300409292
train_median_baseline,21,Ba3Y(BO3)3,2,0.3350000000000002,0.14044900000000024,0.3747652598627576,-0.1872618310828129,28.75966255020083,982.0058567829926,31.336972680573226
xgboost_original_params,22,Ba4Na(BO3)3,1,0.18193859291076642,0.033101651590349584,0.18193859291076642,,18.953764867626376,359.2452026572679,18.953764867626376
train_mean_baseline,22,Ba4Na(BO3)3,1,0.07475561797752839,0.005588402419202165,0.07475561797752839,,7.235064946925377,52.34616478622831,7.235064946925377
train_median_baseline,22,Ba4Na(BO3)3,1,0.10650000000000004,0.011342250000000009,0.10650000000000004,,10.217697003409512,104.40133205348373,10.217697003409512
xgboost_original_params,23,BaAl2O4,2,0.1911559228897095,0.037594095073736476,0.19389196753278995,-1.5128063653216368,17.343741305543972,303.84607356725905,17.431181072069073
train_mean_baseline,23,BaAl2O4,2,0.1140000000000001,0.013878843118428916,0.11780850189366181,-0.08410963344781242,10.996318301533734,131.08947031714283,11.449431004078011
train_median_baseline,23,BaAl2O4,2,0.1140000000000001,0.016596000000000003,0.12882546332150335,-0.3013081985491124,10.996318301533734,157.35290712677755,12.544038708756345
xgboost_original_params,24,BaB8O13,1,0.35956715774536097,0.1292885409290773,0.35956715774536097,,22.937934196020194,526.1488251809526,22.937934196020194
train_mean_baseline,24,BaB8O13,1,0.9781938202247185,0.9568631499258288,0.9781938202247185,,73.0843685170218,5341.324921531847,73.0843685170218
train_median_baseline,24,BaB8O13,1,0.9449999999999998,0.8930249999999997,0.9449999999999998,,69.96172118998572,4894.642431865297,69.96172118998572
xgboost_original_params,25,BaBPO5,1,0.2562099075317379,0.06564351671742168,0.2562099075317379,,16.18626081071818,261.9950390325912,16.18626081071818
train_mean_baseline,25,BaBPO5,1,0.9461039325842693,0.8951126512514196,0.9461039325842693,,71.18109525312718,5066.748321434765,71.18109525312718
train_median_baseline,25,BaBPO5,1,0.9129999999999998,0.8335689999999997,0.9129999999999998,,68.06698139843371,4633.11395669472,68.06698139843371
xgboost_original_params,26,BaBr2,1,0.029756383895874094,0.0008854423825586351,0.029756383895874094,,2.902702951782885,8.425684426289074,2.902702951782885
train_mean_baseline,26,BaBr2,1,0.036648876404494324,0.0013431401417119007,0.036648876404494324,,3.5094382900482515,12.316157111656794,3.5094382900482515
train_median_baseline,26,BaBr2,1,0.06849999999999978,0.00469224999999997,0.06849999999999978,,6.502187874331128,42.278447153098746,6.502187874331128
xgboost_original_params,27,BaCa2(SiO3)3,1,0.1210779762268066,0.014659876327179145,0.1210779762268066,,11.58295662434898,134.16488416154994,11.58295662434898
train_mean_baseline,27,BaCa2(SiO3)3,1,0.07676123595505624,0.0058922873453478184,0.07676123595505624,,7.433360183586558,55.25484361892999,7.433360183586558
train_median_baseline,27,BaCa2(SiO3)3,1,0.10849999999999982,0.01177224999999996,0.10849999999999982,,10.415459755150493,108.48180191115958,10.415459755150493
xgboost_original_params,28,BaCa2Mg(SiO4)2,1,0.24461585998535185,0.05983691895637326,0.24461585998535185,,17.226573504412613,296.7548347029307,17.226573504412613
train_mean_baseline,28,BaCa2Mg(SiO4)2,1,0.7054297752808991,0.4976311678528598,0.7054297752808991,,56.01182106750616,3137.324099298327,56.01182106750616
train_median_baseline,28,BaCa2Mg(SiO4)2,1,0.6730000000000005,0.45292900000000064,0.6730000000000005,,52.96169472689377,2804.941108344687,52.96169472689377
xgboost_original_params,29,BaCl2,1,0.12298161315917966,0.015124477175234111,0.12298161315917966,,11.030415479343446,121.6700656469395,11.030415479343446
train_mean_baseline,29,BaCl2,1,0.040567415730337064,0.0016457152190379992,0.040567415730337064,,3.803105107816407,14.463608461099243,3.803105107816407
train_median_baseline,29,BaCl2,1,0.010000000000000231,0.00010000000000000461,0.010000000000000231,,0.9296202939189584,0.8641938908659706,0.9296202939189584
xgboost_original_params,30,BaF2,1,0.04891445159912067,0.0023926235752427184,0.04891445159912067,,3.364722349787712,11.321356491160943,3.364722349787712
train_mean_baseline,30,BaF2,1,0.6552893258426962,0.42940410056337525,0.6552893258426962,,52.6378323705253,2770.7413966675213,52.6378323705253
train_median_baseline,30,BaF2,1,0.6229999999999998,0.3881289999999997,0.6229999999999998,,49.60103375781574,2460.262549843977,49.60103375781574
xgboost_original_params,31,BaGd2ZnO5,1,0.06666117668151861,0.00444371247656464,0.06666117668151861,,7.698714221228272,59.270200660142436,7.698714221228272
train_mean_baseline,31,BaGd2ZnO5,1,0.3074073033707867,0.09449925016569889,0.3074073033707867,,31.83135279275399,1013.2350206167672,31.83135279275399
train_median_baseline,31,BaGd2ZnO5,1,0.3384999999999998,0.11458224999999987,0.3384999999999998,,34.752227630276366,1207.717325266544,34.752227630276366
xgboost_original_params,32,BaGdF5,1,0.17461137771606428,0.030489133227902067,0.17461137771606428,,11.782856984747013,138.8357187230015,11.782856984747013
train_mean_baseline,32,BaGdF5,1,0.5850926966292134,0.3423334636488447,0.5850926966292134,,47.779823495864775,2282.911533295992,47.779823495864775
train_median_baseline,32,BaGdF5,1,0.5530000000000004,0.30580900000000044,0.5530000000000004,,44.761681962343516,2003.608172097989,44.761681962343516
xgboost_original_params,33,BaHfO3,1,0.32441319274902325,0.10524391962961491,0.32441319274902325,,26.84486450195311,720.6467501282223,26.84486450195311
train_mean_baseline,33,BaHfO3,1,0.09572191011235986,0.009162684075558702,0.09572191011235986,,8.841132274925883,78.16561990273611,8.841132274925883
train_median_baseline,33,BaHfO3,1,0.06500000000000039,0.004225000000000051,0.06500000000000039,,5.953000861153043,35.43821925288888,5.953000861153043
xgboost_original_params,34,BaLaGa3O7,1,0.330574941635132,0.10927979203707094,0.330574941635132,,32.87597027554898,1080.82942155878,32.87597027554898
train_mean_baseline,34,BaLaGa3O7,1,0.08368820224719098,0.007003715195366742,0.08368820224719098,,7.754663657886056,60.13480844693874,7.754663657886056
train_median_baseline,34,BaLaGa3O7,1,0.05300000000000038,0.00280900000000004,0.05300000000000038,,4.8697279726395095,23.71425052750771,4.8697279726395095
xgboost_original_params,35,BaLiF3,1,0.09056245803833018,0.008201558805944316,0.09056245803833018,,6.004075372970874,36.04892108431534,6.004075372970874
train_mean_baseline,35,BaLiF3,1,0.7555702247191012,0.5708863644820731,0.7555702247191012,,59.30890780326007,3517.5465448156033,59.30890780326007
